molecule_chembl_id,median_ic50_nM,n_measurements,min_ic50_nM,max_ic50_nM,pIC50,canonical_smiles,valid_smiles
CHEMBL113901,5220.0,1,5220.0,5220.0,5.282329496997738,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N(C)C,True
CHEMBL113902,7500.0,1,7500.0,7500.0,5.1249387366083,C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,True
CHEMBL113985,5390.0,1,5390.0,5390.0,5.268411234813261,COc1cc(NC(=O)/C=C/CN2CCOCC2)cc2c(Nc3cccc(Br)c3)c(C#N)cnc12,True
CHEMBL113996,13570.0,1,13570.0,13570.0,4.867420152340263,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,True
CHEMBL114073,10590.0,1,10590.0,10590.0,4.975104039892515,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N1CCOCC1,True
CHEMBL114392,2700.0,1,2700.0,2700.0,5.568636235841012,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,True
CHEMBL114446,15135.61,1,15135.61,15135.61,4.820000071285178,COc1cc2ncc(C(N)=O)c(Nc3cccc(Br)c3)c2cc1OC,True
CHEMBL114490,2320.0,1,2320.0,2320.0,5.634512015109101,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,True
CHEMBL114496,758.58,1,758.58,758.58,6.119998611678231,COc1cc2ncc(C#N)c(Nc3cccc(SC)c3)c2cc1OC,True
CHEMBL114593,960.0,1,960.0,960.0,6.017728766960431,COCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,True
