molecule_chembl_id,canonical_smiles,pIC50,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,RingCount,HeavyAtomCount
CHEMBL77401,COC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,5.756961951313706,363.34700000000004,2.4883000000000006,112.81,0,7,6,2,25
CHEMBL77452,OCCCNCc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.045757490560675,428.5610000000001,5.660200000000003,72.97,4,5,8,5,31
CHEMBL77688,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)c(O)c1,6.508638306165727,365.3190000000001,2.1055,144.04,2,7,6,2,25
CHEMBL7775,CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,5.060480747381382,343.3860000000001,4.081700000000002,61.440000000000005,2,4,4,4,26
CHEMBL77782,CN(C)CCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.301029995663981,413.55000000000007,5.687300000000004,56.84,2,5,6,5,30
CHEMBL77803,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,6.301029995663981,331.129,2.027240000000001,137.85,3,6,2,1,20
CHEMBL78018,NCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.397940008672037,371.46900000000005,5.041900000000003,79.62,3,5,4,5,27
CHEMBL78049,C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],5.036212172654444,195.17399999999998,1.7353000000000003,83.6,2,4,2,1,14
CHEMBL7810,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,5.560667306169737,405.88100000000014,5.278800000000004,51.46,1,3,5,4,29
CHEMBL7819,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1,5.79997073344623,315.75600000000003,3.573100000000002,51.46,1,3,2,3,22
CHEMBL78206,CC(C)(C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,5.886056647693163,404.4440000000001,3.230000000000002,115.61000000000001,1,6,6,2,28
CHEMBL78224,O=[N+]([O-])/C=C/c1ccc(O)c(O)c1,5.055517327849831,181.147,1.3451999999999997,83.60000000000001,2,4,2,1,13
CHEMBL78249,N#CC(Cc1ccc(O)c(O)c1)C(=N)S,4.154901959985743,222.269,1.6871500000000001,88.1,4,4,3,1,15
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,5.610833915635467,268.23199999999997,0.9703399999999998,158.07999999999998,4,7,2,1,20
CHEMBL7827,O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,5.218424122966082,288.68600000000004,3.524600000000001,70.67,2,4,1,3,20
CHEMBL78280,CNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C(\C)[N+](=O)[O-])cc2OC)cc1,5.3979400086720375,406.41600000000017,2.460000000000001,124.84000000000002,1,7,7,2,28
CHEMBL7866,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,5.201902067937514,373.79200000000014,3.209100000000002,77.76,1,5,4,3,26
CHEMBL78685,c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3s2)cc1,5.795880017344075,343.4150000000001,4.978200000000001,66.49000000000001,2,5,3,5,25
CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,5.495257363728312,586.1970000000001,8.948000000000002,70.42,2,4,12,5,41
CHEMBL78700,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCCO)cc5)sc34)ccc2[nH]1,6.301029995663981,442.58800000000014,5.968620000000005,72.97,4,5,8,5,32
CHEMBL79060,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCN6CCNCC6)cc5)sc34)ccc2[nH]1,6.6020599913279625,496.68400000000025,5.491420000000004,68.01,4,6,8,6,36
CHEMBL7914,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,5.6020599913279625,357.4130000000001,4.674240000000003,70.22999999999999,3,4,4,4,27
CHEMBL7917,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,8.397940008672037,315.7600000000001,4.044000000000002,56.27000000000001,1,5,4,3,22
CHEMBL79206,CN(CCO)Cc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.522878745280337,428.5610000000001,5.612300000000003,64.18,3,5,7,5,31
CHEMBL79215,c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,9.0,465.5860000000001,6.099500000000004,73.80000000000001,3,6,8,6,34
CHEMBL7939,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,6.154901959985743,365.33900000000006,4.335600000000002,70.23,3,4,4,4,27
CHEMBL79704,O=C(O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)O)[nH]c2ccccc12,5.318758762624412,440.5460000000003,5.483000000000003,106.18,4,4,9,4,30
CHEMBL80030,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,6.638272163982407,389.4290000000001,2.4530000000000003,100.98,1,6,8,2,27
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,5.221848749616356,216.196,1.53696,97.27,2,5,2,1,16
CHEMBL80164,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCO)cc5)sc34)ccc2[nH]1,6.0,428.5610000000001,5.578520000000005,72.97,4,5,7,5,31
CHEMBL80302,Cc1cc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc2[nH]1,7.0,356.45400000000006,5.891620000000002,53.6,2,4,3,5,26
CHEMBL80540,c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CNCCN4CCNCC4)cc3)cc2n1,8.522878745280337,482.6570000000003,5.183000000000004,68.01,4,6,8,6,35
CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,5.958607314841775,282.259,1.27334,147.07999999999998,3,7,3,1,21
CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,4.489401376500078,381.69000000000005,5.801400000000003,27.05,0,2,6,3,24
CHEMBL80809,CC(=O)NCCNCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.301029995663981,456.5750000000001,4.808900000000003,94.72999999999999,4,6,8,5,33
CHEMBL8095,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,5.698970004336019,359.3850000000001,4.066000000000002,79.46000000000001,3,5,5,4,27
CHEMBL81073,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,5.1487416512809245,395.4150000000002,3.893080000000003,94.86000000000001,1,8,7,3,29
CHEMBL81375,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CN(C)CCO)cc5)sc34)ccc2[nH]1,6.853871964321762,442.58800000000014,5.9207200000000055,64.18,3,5,7,5,32
CHEMBL81712,O=C(c1ccccc1)c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1,8.045757490560675,370.43700000000007,5.1472000000000016,70.67,2,5,4,5,27
CHEMBL8223,CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1,4.301029995663981,471.60500000000025,5.749800000000005,76.71000000000001,3,6,10,4,35
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.449404792510672,371.524,5.9961000000000055,12.47,0,2,8,3,28
CHEMBL83228,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1OC,4.300000029139089,365.3890000000001,3.8844800000000026,85.63000000000001,1,7,6,3,27
